Run #,Apogee Time (s),Launch Time (s),Burnout Time (s),Ground Hit Time (s),Max X Position (m),Max Altitude (m),Max Velocity Z (m/s),Landing X Pos (m),Landing Lon (deg),Landing Lat (deg),Thrust Scale Factor,Random Parameters
1779,45.566,0,4.3,488.2745642,7687.487382,11849.82003,693.7552588,7687.487382,-81.69669123,47.99388384,2.599583797,"{'gross_weight': 49180.38989593573, 'diameter': 0.131160548436453, 'launch_rod_length': 1.8916777741607702, 'launch_temperature': 304.849414735268, 'wind_direction': -1.4819388312241508, 'wind_speed_average': 6.562819938439159, 'wind_turbulence_intensity': 3.2449946880792657, 'launch_rod_angle': -0.23635261949686984, 'launch_rod_direction': 1.6128770105715813, 'separation_delay_charge': 0.3084167276093102, 'wind_standard_deviation': -8.2262871731939}"
1780,43.806,0,4.3,469.051549,1618.495642,11027.21728,662.9833795,1618.349888,-81.77827082,47.94849897,2.503225644,"{'gross_weight': 49169.277037198866, 'diameter': 0.1301875579655384, 'launch_rod_length': 1.9188829506893315, 'launch_temperature': 287.50417166335745, 'wind_direction': -0.28157006703333076, 'wind_speed_average': -1.02355841589788, 'wind_turbulence_intensity': 4.3829529216958125, 'launch_rod_angle': -0.24068169335121947, 'launch_rod_direction': 1.6498741888992865, 'separation_delay_charge': 0.2209877297622441, 'wind_standard_deviation': 3.17719576753658}"
1781,44.436,0,4.3,475.0569836,3.87E-06,11327.05511,676.3359789,-5996.482944,-81.88063202,48.02454729,4.340003113,"{'gross_weight': 49173.81258066006, 'diameter': 0.129858227473727, 'launch_rod_length': 1.702515410256791, 'launch_temperature': 298.48956474425097, 'wind_direction': 2.0013866326337313, 'wind_speed_average': 3.0094852071360463, 'wind_turbulence_intensity': -4.674045980438195, 'launch_rod_angle': -0.24355304699369895, 'launch_rod_direction': 1.5834575657715502, 'separation_delay_charge': -0.12494732332155371, 'wind_standard_deviation': 1.4214330937282091}"
1782,44.47241183,0,4.3,479.537078,10814.58413,11204.51327,665.6900971,10814.58413,-81.65471406,47.97734711,-3.622991059,"{'gross_weight': 49178.25701438131, 'diameter': 0.13127562464090622, 'launch_rod_length': 1.7307254534685252, 'launch_temperature': 272.4833585772085, 'wind_direction': -1.342115606335323, 'wind_speed_average': 11.654897923164368, 'wind_turbulence_intensity': -1.0496545180440908, 'launch_rod_angle': -0.23288629703410896, 'launch_rod_direction': 1.5161436420460916, 'separation_delay_charge': -0.6558952905466582, 'wind_standard_deviation': 4.844962582578503}"
1783,45.88592067,0,4.3,498.4877788,1265.169704,11991.20811,697.5259307,1265.169704,-81.78297575,48.06112578,-0.321124388,"{'gross_weight': 49173.491670173724, 'diameter': 0.13066270031080907, 'launch_rod_length': 1.9222465115224985, 'launch_temperature': 293.25832620635634, 'wind_direction': 3.3284966287091473, 'wind_speed_average': 6.336742433880749, 'wind_turbulence_intensity': 2.8412994148120996, 'launch_rod_angle': -0.20065901666105423, 'launch_rod_direction': 1.6777730939578341, 'separation_delay_charge': 0.07223460219319697, 'wind_standard_deviation': 5.176684244192376}"
1784,46.40632812,0,4.3,498.9966524,2.03E-06,12185.74036,704.6452842,-4291.148807,-81.85772325,48.04428424,-0.678426847,"{'gross_weight': 49171.74834256073, 'diameter': 0.13047975220608687, 'launch_rod_length': 1.9830106706484703, 'launch_temperature': 300.1756111902808, 'wind_direction': 2.4284302719517337, 'wind_speed_average': 6.819923496258313, 'wind_turbulence_intensity': 3.561483925480485, 'launch_rod_angle': -0.17395722002287625, 'launch_rod_direction': 1.6827093412555876, 'separation_delay_charge': -0.554975050149268, 'wind_standard_deviation': 2.6565226036697367}"
1785,43.21318859,0,4.3,460.2965249,13080.7196,10675.49143,647.4903891,13080.7196,-81.62405359,48.0408709,0.420953147,"{'gross_weight': 49185.60664249651, 'diameter': 0.13086763961088094, 'launch_rod_length': 1.9226965550761157, 'launch_temperature': 280.24401830108235, 'wind_direction': 4.378593724779545, 'wind_speed_average': 16.267895257815468, 'wind_turbulence_intensity': 0.041710688180766196, 'launch_rod_angle': -0.22635489387568541, 'launch_rod_direction': 1.6211508583829954, 'separation_delay_charge': 0.33295458449888077, 'wind_standard_deviation': 3.0550527567126426}"
1786,45.726,0,4.3,490.4110948,2.10E-06,11910.08002,695.8375231,-4810.997757,-81.8645726,47.92971851,-1.061314801,"{'gross_weight': 49175.86606381295, 'diameter': 0.13131920860830715, 'launch_rod_length': 1.891148880844791, 'launch_temperature': 304.0376180463538, 'wind_direction': 0.5485103123875192, 'wind_speed_average': 9.962645602593922, 'wind_turbulence_intensity': -0.6124797921713337, 'launch_rod_angle': -0.22954414265457154, 'launch_rod_direction': 1.5664377473641897, 'separation_delay_charge': 0.29732257472779844, 'wind_standard_deviation': -6.732325168835571}"
1787,44.776,0,4.3,479.0244368,3748.112961,11500.48919,681.5629151,3748.1086,-81.74965759,47.96644682,4.099492575,"{'gross_weight': 49173.95276254242, 'diameter': 0.1304683680643333, 'launch_rod_length': 1.9051222574476652, 'launch_temperature': 302.6973127104389, 'wind_direction': -0.7915602438614942, 'wind_speed_average': -0.06641028916346059, 'wind_turbulence_intensity': 2.7568236793161724, 'launch_rod_angle': -0.21394344248168595, 'launch_rod_direction': 1.6076119034447027, 'separation_delay_charge': 0.5535468714920332, 'wind_standard_deviation': 0.22499117850223282}"
1788,46.826,0,4.3,501.9315553,4479.356584,12313.08026,705.5275697,4479.356584,-81.73983835,47.96433618,0.104327897,"{'gross_weight': 49189.9411936047, 'diameter': 0.13150947713537076, 'launch_rod_length': 2.0536884560398367, 'launch_temperature': 287.8399275848131, 'wind_direction': 5.433332489326573, 'wind_speed_average': 6.699392953994774, 'wind_turbulence_intensity': -1.54147518247665, 'launch_rod_angle': -0.157014977110336, 'launch_rod_direction': 1.4903928453118869, 'separation_delay_charge': -0.09936580840197123, 'wind_standard_deviation': -1.1734146809521815}"
1789,45.56632812,0,4.3,489.9507501,2.22E-06,11742.19658,686.8831918,-4029.950826,-81.85420507,48.03988806,-0.327680814,"{'gross_weight': 49171.90589330802, 'diameter': 0.1300630859036228, 'launch_rod_length': 1.973528493600683, 'launch_temperature': 281.33359190450125, 'wind_direction': 2.4077378768210247, 'wind_speed_average': 3.695838605429355, 'wind_turbulence_intensity': 0.44722446693112283, 'launch_rod_angle': -0.18644579376579662, 'launch_rod_direction': 1.5720008071346967, 'separation_delay_charge': -0.28035464399336874, 'wind_standard_deviation': 2.7753467906162514}"
1790,45.136,0,4.3,484.0479626,3.05E-06,11600.05767,681.8239101,-4553.43965,-81.8612261,48.02290098,-0.058814322,"{'gross_weight': 49179.103968864125, 'diameter': 0.1307629493381383, 'launch_rod_length': 1.751440004960893, 'launch_temperature': 291.2929108140203, 'wind_direction': 2.0849705958983478, 'wind_speed_average': -2.4312204268550577, 'wind_turbulence_intensity': 1.888572219258415, 'launch_rod_angle': -0.19764958780227837, 'launch_rod_direction': 1.6822716211968798, 'separation_delay_charge': 0.23627680862087921, 'wind_standard_deviation': 2.665284155699827}"
1791,45.665,0,4.3,489.5179752,5274.054471,11859.1673,693.1753904,5274.054471,-81.72905067,48.04742132,2.335171793,"{'gross_weight': 49176.421198015916, 'diameter': 0.13167552321103482, 'launch_rod_length': 1.6286686200137035, 'launch_temperature': 297.7274750131578, 'wind_direction': 3.929707612044597, 'wind_speed_average': 6.484728473785587, 'wind_turbulence_intensity': -0.5974654780925541, 'launch_rod_angle': -0.22167876451191704, 'launch_rod_direction': 1.5126872341163107, 'separation_delay_charge': -0.23977901320187262, 'wind_standard_deviation': 1.6607050286562877}"
