Run #,Apogee Time (s),Launch Time (s),Burnout Time (s),Ground Hit Time (s),Max X Position (m),Max Altitude (m),Max Velocity Z (m/s),Landing X Pos (m),Landing Lon (deg),Landing Lat (deg),Thrust Scale Factor,Random Parameters
749,34.13532813,0,7.254,333.7185924,2743.188645,5985.257159,434.1637686,2743.188645,-81.76313881,47.98924646,3.474173522,"{'gross_weight': 16.644697089502426, 'diameter': 0.13027560114217995, 'launch_rod_length': 2.001988012217756, 'launch_temperature': 291.88163067931606, 'wind_direction': -1.1605470003603422, 'wind_speed_average': 2.722947236320252, 'wind_turbulence_intensity': -2.6758263289608983, 'launch_rod_angle': -0.1907445601046735, 'launch_rod_direction': 1.5182835628872942, 'separation_delay_charge': -0.36598925602214194, 'wind_standard_deviation': -0.001053020457187267}"
750,31.274,0,7.254,293.3262372,3.20E-06,5031.974611,390.6889834,-6217.778802,-81.88351247,47.96575424,1.041088184,"{'gross_weight': 9.783108696939589, 'diameter': 0.13040034089810978, 'launch_rod_length': 1.9242294036700966, 'launch_temperature': 289.52485869868525, 'wind_direction': 1.0215720061854885, 'wind_speed_average': 10.982597793544787, 'wind_turbulence_intensity': 10.536063679878199, 'launch_rod_angle': -0.2106569616431368, 'launch_rod_direction': 1.5650043039432253, 'separation_delay_charge': -0.03320160448145223, 'wind_standard_deviation': -3.4054240266513482}"
751,34.172625,0,7.254,333.4650132,3630.83265,5993.764163,433.6361636,3630.83265,-81.75120399,47.99690576,4.882744185,"{'gross_weight': 18.808235344856065, 'diameter': 0.13098738244359429, 'launch_rod_length': 1.661961729677632, 'launch_temperature': 293.1900132441195, 'wind_direction': 4.807531461139025, 'wind_speed_average': 4.237027319980719, 'wind_turbulence_intensity': -3.3126936122597215, 'launch_rod_angle': -0.212594613591985, 'launch_rod_direction': 1.5857357196526494, 'separation_delay_charge': -0.13734033286532643, 'wind_standard_deviation': 0.42955346542237216}"
752,33.4580625,0,7.254,329.4237722,1163.307362,5759.107538,425.1005904,1163.307362,-81.78437139,47.97881467,0.013139496,"{'gross_weight': 11.105500906509581, 'diameter': 0.13138355704318422, 'launch_rod_length': 1.7034565208032844, 'launch_temperature': 272.9404838748614, 'wind_direction': -0.4635466620824844, 'wind_speed_average': -0.9208334600164791, 'wind_turbulence_intensity': -7.358114111612748, 'launch_rod_angle': -0.19394259300538536, 'launch_rod_direction': 1.5031383517213808, 'separation_delay_charge': -0.07561635792106039, 'wind_standard_deviation': -4.013708608572901}"
753,34.41532813,0,7.254,333.3825134,3.00E-06,6067.612406,435.651758,-3978.545257,-81.85344504,47.97372551,-1.102932638,"{'gross_weight': 21.491433478263364, 'diameter': 0.13077835331304458, 'launch_rod_length': 1.7201485437663626, 'launch_temperature': 307.64810629275837, 'wind_direction': 0.9365147437033369, 'wind_speed_average': 7.9166435509085735, 'wind_turbulence_intensity': -4.338606211822495, 'launch_rod_angle': -0.20908388816190748, 'launch_rod_direction': 1.5080033903554901, 'separation_delay_charge': -0.11538129098652425, 'wind_standard_deviation': -2.7673181311429684}"
754,33.902625,0,7.254,331.2462639,1031.439001,5908.061776,431.0326436,1031.439001,-81.78614345,47.97709871,3.219336076,"{'gross_weight': 17.44506785975505, 'diameter': 0.13032470177524627, 'launch_rod_length': 1.8125095923474333, 'launch_temperature': 290.4329911362111, 'wind_direction': -0.38990702215777095, 'wind_speed_average': 1.158628641403137, 'wind_turbulence_intensity': -4.254949187675324, 'launch_rod_angle': -0.1817466213503441, 'launch_rod_direction': 1.5058575166293509, 'separation_delay_charge': -0.09527760900995708, 'wind_standard_deviation': 1.3592230039811626}"
755,33.218428,0,7.254,324.405877,576.897498,5684.505981,421.9434154,576.897498,-81.79225343,47.95322376,3.59222227,"{'gross_weight': 18.89077704373165, 'diameter': 0.13021639258878417, 'launch_rod_length': 1.487811020748428, 'launch_temperature': 283.9076104903558, 'wind_direction': -0.11353887266519513, 'wind_speed_average': 7.399730543851824, 'wind_turbulence_intensity': 1.4753299829164719, 'launch_rod_angle': -0.2193732739300163, 'launch_rod_direction': 1.6304592421923014, 'separation_delay_charge': -0.411151712554589, 'wind_standard_deviation': 2.4103831898238304}"
756,33.2280625,0,7.254,316.9959008,4.11E-06,5700.054641,421.4479917,-3212.524755,-81.84316826,47.98977142,1.775769717,"{'gross_weight': 13.28496308472126, 'diameter': 0.12977639359307108, 'launch_rod_length': 1.4441162077305505, 'launch_temperature': 310.2693036340822, 'wind_direction': 1.231049776197152, 'wind_speed_average': 0.6645224647512906, 'wind_turbulence_intensity': 1.3412730806544848, 'launch_rod_angle': -0.2478616417620156, 'launch_rod_direction': 1.5517285229120084, 'separation_delay_charge': -0.31772959977434273, 'wind_standard_deviation': -1.273007233086192}"
757,33.73532813,0,7.254,329.0912183,4.03E-06,5849.012962,428.3656488,-3491.790803,-81.84693323,48.00333119,2.230368472,"{'gross_weight': 10.940032277079064, 'diameter': 0.13042406025285763, 'launch_rod_length': 2.012153645492691, 'launch_temperature': 287.2611217827158, 'wind_direction': 1.6785295802828215, 'wind_speed_average': 2.9609899157062376, 'wind_turbulence_intensity': -0.987598096364541, 'launch_rod_angle': -0.22891555345643638, 'launch_rod_direction': 1.5993822094081733, 'separation_delay_charge': 0.6153431233453908, 'wind_standard_deviation': -3.6400830834553455}"
758,34.094,0,7.254,331.824654,5.84E-07,5968.07707,432.4480793,-518.4008407,-81.80697133,48.02919493,3.83755456,"{'gross_weight': 22.02610279797703, 'diameter': 0.13105932865170947, 'launch_rod_length': 1.50815584993084, 'launch_temperature': 295.16921725397157, 'wind_direction': 2.985370432254852, 'wind_speed_average': 2.6465286764550005, 'wind_turbulence_intensity': -2.9177556207662927, 'launch_rod_angle': -0.2108921034890244, 'launch_rod_direction': 1.5414683217650669, 'separation_delay_charge': -0.7430404054674483, 'wind_standard_deviation': -3.271921367438809}"
